Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
Neobue	Neolamprologus buescheri	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8653
NeocaK	Neolamprologus sp. caudopunctatus kipili	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neocal	Neolamprologus calliurus	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	NA
Neocan	Neolamprologus cancellatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/62608
Neocau	Neolamprologus caudopunctatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8654
Neochi	Neolamprologus chitamwebwai	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/64229
Neochr	Neolamprologus christyi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8655
Neocra	Neolamprologus crassus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8656
Neocyg	Neolamprologus sp. 'falcicula cygnus'	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neocyl	Neolamprologus cylindricus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8657
Neodev	Neolamprologus devosi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/61538
Neoese	Neolamprologus sp. 'eseki'	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neofal	Neolamprologus falcicula North	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8658
NeofaM	Neolamprologus falcicula Mahale	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Neofur	Neolamprologus furcifer	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8665
